Campo,Formato,Ejemplo,Valor por defecto o respuesta,,,,,
16/07/2022,desc 310,ARS,579,Gasto,Verdadero,Belleza,peluquero; manicura,nota 310
04/08/2021,desc 311,USD,592,Gasto,,Educación,universidad; postgrado,nota 311
04/10/2022,desc 312,ARS,174,Gasto,Verdadero,Vehículo,mecanico,nota 312
18/03/2021,desc 313,ARS,313,Gasto,Verdadero,Transporte,sube,nota 313
21/02/2022,desc 314,ARS,920,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 314
25/06/2020,desc 315,ARS,532,Ingreso,Falso,Recreación,,nota 315
12/06/2022,desc 316,ARS,526,Gasto,Verdadero,Deporte,,nota 316
20/12/2022,desc 317,ARS,637,Gasto,Falso,Vivienda,reparaciones,nota 317
09/03/2021,desc 318,ARS,23,Gasto,,Belleza,peluquero; manicura,nota 318
18/12/2020,desc 319,USD,553,Gasto,Verdadero,Educación,universidad; postgrado,nota 319
01/07/2022,desc 320,ARS,744,Gasto,Falso,Vehículo,mecanico,nota 320
28/08/2020,desc 321,ARS,690,Gasto,,Transporte,sube,nota 321
02/10/2020,desc 322,ARS,629,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 322
12/05/2022,desc 323,ARS,208,Gasto,Falso,Recreación,,nota 323
15/07/2021,desc 324,USD,541,Gasto,Falso,Deporte,,nota 324
25/05/2021,desc 325,ARS,31,Gasto,Verdadero,Vivienda,reparaciones,nota 325
02/05/2020,desc 326,ARS,356,Gasto,Falso,Belleza,peluquero; manicura,nota 326
14/04/2020,desc 327,ARS,559,Gasto,Verdadero,Educación,universidad; postgrado,nota 327
11/07/2021,desc 328,ARS,757,Gasto,,Vehículo,mecanico,nota 328
08/11/2020,desc 329,ARS,566,Ingreso,Falso,Transporte,sube,nota 329
25/11/2021,desc 330,ARS,768,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 330
20/12/2021,desc 331,ARS,771,Gasto,,Recreación,,nota 331
21/02/2022,desc 332,USD,726,Gasto,Falso,Deporte,,nota 332
04/05/2020,desc 333,ARS,31,Gasto,Verdadero,Vivienda,reparaciones,nota 333
28/04/2022,desc 334,ARS,639,Gasto,Falso,Belleza,peluquero; manicura,nota 334
01/09/2021,desc 335,ARS,74,Gasto,,Educación,universidad; postgrado,nota 335
26/08/2020,desc 336,ARS,216,Ingreso,Verdadero,Vehículo,mecanico,nota 336
27/03/2020,desc 337,USD,202,Gasto,Falso,Transporte,sube,nota 337
13/08/2022,desc 338,ARS,531,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 338
02/01/2022,desc 339,ARS,5,Gasto,Verdadero,Recreación,,nota 339
02/08/2021,desc 340,ARS,595,Gasto,Falso,Deporte,,nota 340
08/12/2022,desc 341,ARS,867,Gasto,Falso,Vivienda,reparaciones,nota 341
01/05/2022,desc 342,ARS,581,Gasto,Verdadero,Belleza,peluquero; manicura,nota 342
11/10/2022,desc 343,ARS,122,Ingreso,Falso,Educación,universidad; postgrado,nota 343
24/04/2021,desc 344,ARS,199,Gasto,Verdadero,Vehículo,mecanico,nota 344
02/07/2022,desc 345,USD,34,Gasto,,Transporte,sube,nota 345
15/01/2020,desc 346,ARS,482,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 346
06/08/2021,desc 347,ARS,184,Gasto,Verdadero,Recreación,,nota 347
09/10/2020,desc 348,ARS,972,Gasto,Verdadero,Deporte,,nota 348
24/11/2022,desc 349,ARS,281,Gasto,Falso,Vivienda,reparaciones,nota 349
28/10/2022,desc 350,USD,23,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 350
03/01/2021,desc 351,ARS,127,Gasto,Falso,Educación,universidad; postgrado,nota 351
06/10/2021,desc 352,ARS,323,Gasto,,Vehículo,mecanico,nota 352
17/09/2022,desc 353,ARS,638,Gasto,Verdadero,Transporte,sube,nota 353
13/01/2021,desc 354,ARS,155,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 354
02/05/2020,desc 355,ARS,37,Gasto,,Recreación,,nota 355
01/04/2022,desc 356,ARS,803,Gasto,Verdadero,Deporte,,nota 356
28/09/2021,desc 357,ARS,891,Ingreso,Falso,Vivienda,reparaciones,nota 357
05/08/2020,desc 358,USD,502,Gasto,Falso,Belleza,peluquero; manicura,nota 358
26/08/2022,desc 359,ARS,728,Gasto,Verdadero,Educación,universidad; postgrado,nota 359
15/10/2022,desc 360,ARS,632,Gasto,Falso,Vehículo,mecanico,nota 360
10/06/2022,desc 361,ARS,749,Gasto,Verdadero,Transporte,sube,nota 361
09/06/2022,desc 362,ARS,436,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 362
11/05/2021,desc 363,USD,437,Gasto,Falso,Recreación,,nota 363
28/04/2022,desc 364,ARS,352,Ingreso,Verdadero,Deporte,,nota 364
25/05/2021,desc 365,ARS,880,Gasto,,Vivienda,reparaciones,nota 365
20/02/2020,desc 366,ARS,309,Gasto,Falso,Belleza,peluquero; manicura,nota 366
01/08/2020,desc 367,ARS,649,Gasto,Verdadero,Educación,universidad; postgrado,nota 367
06/10/2021,desc 368,ARS,858,Gasto,Falso,Vehículo,mecanico,nota 368
22/04/2022,desc 369,ARS,429,Gasto,,Transporte,sube,nota 369
07/03/2022,desc 370,ARS,218,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 370
23/06/2021,desc 371,USD,22,Ingreso,Falso,Recreación,,nota 371
11/11/2021,desc 372,ARS,847,Gasto,,Deporte,,nota 372
19/04/2021,desc 373,ARS,253,Gasto,Verdadero,Vivienda,reparaciones,nota 373
06/09/2020,desc 374,ARS,703,Gasto,Falso,Belleza,peluquero; manicura,nota 374
27/06/2022,desc 375,ARS,928,Gasto,Falso,Educación,universidad; postgrado,nota 375
06/04/2022,desc 376,USD,303,Gasto,Verdadero,Vehículo,mecanico,nota 376
07/07/2021,desc 377,ARS,793,Gasto,Falso,Transporte,sube,nota 377
06/03/2020,desc 378,ARS,144,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 378
19/02/2021,desc 379,ARS,178,Gasto,,Recreación,,nota 379
15/07/2021,desc 380,ARS,954,Gasto,Verdadero,Deporte,,nota 380
14/03/2022,desc 381,ARS,177,Gasto,Verdadero,Vivienda,reparaciones,nota 381
01/10/2022,desc 382,ARS,187,Gasto,Verdadero,Belleza,peluquero; manicura,nota 382
03/07/2021,desc 383,ARS,78,Gasto,Falso,Educación,universidad; postgrado,nota 383
06/10/2022,desc 384,USD,795,Gasto,Verdadero,Vehículo,mecanico,nota 384
07/02/2022,desc 385,ARS,900,Ingreso,Falso,Transporte,sube,nota 385
28/08/2020,desc 386,ARS,463,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 386
17/01/2022,desc 387,ARS,84,Gasto,Verdadero,Recreación,,nota 387
27/10/2020,desc 388,ARS,650,Gasto,Falso,Deporte,,nota 388
28/04/2021,desc 389,USD,152,Gasto,,Vivienda,reparaciones,nota 389
25/06/2020,desc 390,ARS,13,Gasto,Verdadero,Belleza,peluquero; manicura,nota 390
14/07/2020,desc 391,ARS,992,Gasto,Falso,Educación,universidad; postgrado,nota 391
17/11/2020,desc 392,ARS,448,Ingreso,Falso,Vehículo,mecanico,nota 392
23/10/2022,desc 393,ARS,701,Gasto,Verdadero,Transporte,sube,nota 393
08/07/2021,desc 394,ARS,283,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 394
15/09/2021,desc 395,ARS,744,Gasto,Verdadero,Recreación,,nota 395
05/04/2020,desc 396,ARS,363,Gasto,,Deporte,,nota 396
03/08/2021,desc 397,USD,11,Gasto,Falso,Vivienda,reparaciones,nota 397
09/12/2021,desc 398,ARS,317,Gasto,Verdadero,Belleza,peluquero; manicura,nota 398
04/05/2020,desc 399,ARS,669,Ingreso,,Educación,universidad; postgrado,nota 399
12/12/2020,desc 400,ARS,200,Gasto,Falso,Vehículo,mecanico,nota 400
09/12/2021,desc 401,ARS,164,Gasto,Verdadero,Transporte,sube,nota 401
28/06/2020,desc 402,USD,753,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 402
01/05/2022,desc 403,ARS,226,Gasto,,Recreación,,nota 403
14/05/2020,desc 404,ARS,467,Gasto,Verdadero,Deporte,,nota 404
24/05/2020,desc 405,ARS,19,Gasto,Falso,Vivienda,reparaciones,nota 405
12/12/2021,desc 406,ARS,554,Ingreso,,Belleza,peluquero; manicura,nota 406
09/04/2021,desc 407,ARS,58,Gasto,Verdadero,Educación,universidad; postgrado,nota 407
09/05/2022,desc 408,ARS,354,Gasto,Falso,Vehículo,mecanico,nota 408
18/01/2021,desc 409,ARS,962,Gasto,Falso,Transporte,sube,nota 409
25/04/2022,desc 410,USD,976,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 410
22/10/2022,desc 411,ARS,515,Gasto,Falso,Recreación,,nota 411
22/06/2021,desc 412,ARS,478,Gasto,Verdadero,Deporte,,nota 412
03/09/2021,desc 413,ARS,557,Ingreso,,Vivienda,reparaciones,nota 413
07/06/2021,desc 414,ARS,132,Gasto,Verdadero,Belleza,peluquero; manicura,nota 414
17/07/2021,desc 415,USD,603,Gasto,Verdadero,Educación,universidad; postgrado,nota 415
11/01/2020,desc 416,ARS,579,Gasto,Verdadero,Vehículo,mecanico,nota 416
18/11/2022,desc 417,ARS,352,Gasto,Falso,Transporte,sube,nota 417
03/08/2022,desc 418,ARS,661,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 418
17/08/2022,desc 419,ARS,703,Gasto,Falso,Recreación,,nota 419
18/01/2022,desc 420,ARS,553,Ingreso,,Deporte,,nota 420
02/05/2022,desc 421,ARS,161,Gasto,Verdadero,Vivienda,reparaciones,nota 421
22/11/2020,desc 422,ARS,417,Gasto,Falso,Belleza,peluquero; manicura,nota 422
06/04/2020,desc 423,USD,308,Gasto,,Educación,universidad; postgrado,nota 423
05/04/2022,desc 424,ARS,119,Gasto,Verdadero,Vehículo,mecanico,nota 424
05/01/2022,desc 425,ARS,115,Gasto,Falso,Transporte,sube,nota 425
20/11/2020,desc 426,ARS,826,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 426
22/02/2022,desc 427,ARS,435,Ingreso,Verdadero,Recreación,,nota 427
26/05/2020,desc 428,USD,144,Gasto,Falso,Deporte,,nota 428
19/12/2021,desc 429,ARS,905,Gasto,Verdadero,Vivienda,reparaciones,nota 429
18/11/2021,desc 430,ARS,510,Gasto,,Belleza,peluquero; manicura,nota 430
09/06/2021,desc 431,ARS,366,Gasto,Falso,Educación,universidad; postgrado,nota 431
04/04/2021,desc 432,ARS,162,Gasto,Verdadero,Vehículo,mecanico,nota 432
20/08/2020,desc 433,ARS,700,Gasto,,Transporte,sube,nota 433
25/07/2021,desc 434,ARS,70,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 434
28/10/2021,desc 435,ARS,813,Gasto,Verdadero,Recreación,,nota 435
06/05/2020,desc 436,USD,887,Gasto,Falso,Deporte,,nota 436
02/08/2020,desc 437,ARS,391,Gasto,,Vivienda,reparaciones,nota 437
24/02/2022,desc 438,ARS,460,Gasto,Verdadero,Belleza,peluquero; manicura,nota 438
10/07/2020,desc 439,ARS,694,Gasto,Falso,Educación,universidad; postgrado,nota 439
23/02/2020,desc 440,ARS,597,Gasto,,Vehículo,mecanico,nota 440
14/09/2020,desc 441,USD,942,Ingreso,Verdadero,Transporte,sube,nota 441
03/10/2022,desc 442,ARS,203,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 442
11/03/2022,desc 443,ARS,195,Gasto,Falso,Recreación,,nota 443
22/03/2020,desc 444,ARS,101,Gasto,Verdadero,Deporte,,nota 444
23/02/2021,desc 445,ARS,855,Gasto,Falso,Vivienda,reparaciones,nota 445
06/10/2022,desc 446,ARS,826,Gasto,Verdadero,Belleza,peluquero; manicura,nota 446
03/05/2021,desc 447,ARS,927,Gasto,,Educación,universidad; postgrado,nota 447
02/12/2021,desc 448,ARS,641,Ingreso,Verdadero,Vehículo,mecanico,nota 448
08/07/2022,desc 449,USD,979,Gasto,Verdadero,Transporte,sube,nota 449
15/04/2022,desc 450,ARS,276,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 450
23/01/2021,desc 451,ARS,589,Gasto,Falso,Recreación,,nota 451
06/10/2021,desc 452,ARS,466,Gasto,Verdadero,Deporte,,nota 452
02/03/2020,desc 453,ARS,122,Gasto,Falso,Vivienda,reparaciones,nota 453
27/04/2022,desc 454,USD,741,Gasto,,Belleza,peluquero; manicura,nota 454
16/02/2022,desc 455,ARS,687,Ingreso,Verdadero,Educación,universidad; postgrado,nota 455
23/12/2020,desc 456,ARS,39,Gasto,Falso,Vehículo,mecanico,nota 456
06/05/2021,desc 457,ARS,262,Gasto,,Transporte,sube,nota 457
08/08/2021,desc 458,ARS,284,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 458
23/11/2020,desc 459,ARS,567,Gasto,Falso,Recreación,,nota 459
17/03/2020,desc 460,ARS,750,Gasto,Falso,Deporte,,nota 460
02/02/2022,desc 461,ARS,440,Gasto,Verdadero,Vivienda,reparaciones,nota 461
15/01/2022,desc 462,USD,892,Ingreso,Falso,Belleza,peluquero; manicura,nota 462
21/06/2021,desc 463,ARS,198,Gasto,Verdadero,Educación,universidad; postgrado,nota 463
12/01/2021,desc 464,ARS,836,Gasto,,Vehículo,mecanico,nota 464
20/06/2022,desc 465,ARS,772,Gasto,Falso,Transporte,sube,nota 465
18/01/2022,desc 466,ARS,93,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 466
04/10/2022,desc 467,USD,910,Gasto,,Recreación,,nota 467
05/03/2022,desc 468,ARS,667,Gasto,Falso,Deporte,,nota 468
06/11/2020,desc 469,ARS,432,Ingreso,Verdadero,Vivienda,reparaciones,nota 469
15/10/2021,desc 470,ARS,80,Gasto,Falso,Belleza,peluquero; manicura,nota 470
15/06/2021,desc 471,ARS,564,Gasto,,Educación,universidad; postgrado,nota 471
07/02/2021,desc 472,ARS,919,Gasto,Verdadero,Vehículo,mecanico,nota 472
06/11/2020,desc 473,ARS,825,Gasto,Falso,Transporte,sube,nota 473
27/03/2020,desc 474,ARS,353,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 474
02/02/2021,desc 475,USD,409,Gasto,Verdadero,Recreación,,nota 475
09/11/2021,desc 476,ARS,230,Ingreso,Falso,Deporte,,nota 476
11/03/2022,desc 477,ARS,666,Gasto,Falso,Vivienda,reparaciones,nota 477
19/04/2021,desc 478,ARS,262,Gasto,Verdadero,Belleza,peluquero; manicura,nota 478
27/08/2021,desc 479,ARS,270,Gasto,Falso,Educación,universidad; postgrado,nota 479
10/10/2020,desc 480,USD,815,Gasto,Verdadero,Vehículo,mecanico,nota 480
01/07/2022,desc 481,ARS,106,Gasto,,Transporte,sube,nota 481
03/04/2022,desc 482,ARS,464,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 482
08/10/2022,desc 483,ARS,520,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 483
05/07/2022,desc 484,ARS,173,Gasto,,Recreación,,nota 484
11/09/2022,desc 485,ARS,612,Gasto,Verdadero,Deporte,,nota 485
03/12/2021,desc 486,ARS,245,Ingreso,Verdadero,Vivienda,reparaciones,nota 486
25/06/2021,desc 487,USD,733,Gasto,Verdadero,Belleza,peluquero; manicura,nota 487
11/04/2021,desc 488,ARS,463,Gasto,Falso,Educación,universidad; postgrado,nota 488
23/08/2021,desc 489,ARS,793,Gasto,Verdadero,Vehículo,mecanico,nota 489
19/07/2022,desc 490,ARS,847,Gasto,Falso,Transporte,sube,nota 490
17/02/2020,desc 491,ARS,823,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 491
13/12/2021,desc 492,ARS,320,Gasto,Verdadero,Recreación,,nota 492
08/06/2020,desc 493,ARS,977,Ingreso,Falso,Deporte,,nota 493
26/07/2021,desc 494,ARS,430,Gasto,,Vivienda,reparaciones,nota 494
28/06/2020,desc 495,USD,950,Gasto,Verdadero,Belleza,peluquero; manicura,nota 495
24/09/2021,desc 496,ARS,940,Gasto,Falso,Educación,universidad; postgrado,nota 496
05/06/2022,desc 497,ARS,919,Gasto,Falso,Vehículo,mecanico,nota 497
09/11/2021,desc 498,ARS,77,Gasto,Verdadero,Transporte,sube,nota 498
16/04/2022,desc 499,ARS,452,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 499
12/01/2022,desc 500,USD,968,Ingreso,Verdadero,Recreación,,nota 500
23/01/2022,desc 501,ARS,676,Gasto,,Deporte,,nota 501
13/04/2021,desc 502,ARS,276,Gasto,Falso,Vivienda,reparaciones,nota 502
10/02/2021,desc 503,ARS,591,Gasto,Verdadero,Belleza,peluquero; manicura,nota 503
11/06/2022,desc 504,ARS,354,Gasto,,Educación,universidad; postgrado,nota 504
27/05/2021,desc 505,ARS,329,Gasto,Falso,Vehículo,mecanico,nota 505
19/09/2022,desc 506,ARS,660,Gasto,Verdadero,Transporte,sube,nota 506
13/02/2020,desc 507,ARS,974,Ingreso,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 507
12/09/2021,desc 508,USD,653,Gasto,,Recreación,,nota 508
11/07/2021,desc 509,ARS,946,Gasto,Verdadero,Deporte,,nota 509
14/01/2021,desc 510,ARS,393,Gasto,Falso,Vivienda,reparaciones,nota 510
23/10/2022,desc 511,ARS,68,Gasto,,Belleza,peluquero; manicura,nota 511
03/04/2020,desc 512,ARS,374,Gasto,Verdadero,Educación,universidad; postgrado,nota 512
21/11/2021,desc 513,USD,887,Gasto,Falso,Vehículo,mecanico,nota 513
26/03/2022,desc 514,ARS,477,Ingreso,Falso,Transporte,sube,nota 514
03/08/2020,desc 515,ARS,368,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 515
06/10/2022,desc 516,ARS,893,Gasto,Falso,Recreación,,nota 516
10/06/2021,desc 517,ARS,349,Gasto,Verdadero,Deporte,,nota 517
27/02/2020,desc 518,ARS,423,Gasto,,Vivienda,reparaciones,nota 518
23/02/2020,desc 519,ARS,420,Gasto,Verdadero,Belleza,peluquero; manicura,nota 519
18/08/2021,desc 520,ARS,143,Gasto,Verdadero,Educación,universidad; postgrado,nota 520
14/02/2022,desc 521,USD,782,Ingreso,Verdadero,Vehículo,mecanico,nota 521
09/11/2020,desc 522,ARS,201,Gasto,Falso,Transporte,sube,nota 522
09/04/2021,desc 523,ARS,76,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 523
27/12/2020,desc 524,ARS,744,Gasto,Falso,Recreación,,nota 524
14/09/2021,desc 525,ARS,682,Gasto,,Deporte,,nota 525
10/10/2022,desc 526,USD,108,Gasto,Verdadero,Vivienda,reparaciones,nota 526
01/07/2022,desc 527,ARS,77,Gasto,Falso,Belleza,peluquero; manicura,nota 527
19/11/2021,desc 528,ARS,510,Ingreso,,Educación,universidad; postgrado,nota 528
25/05/2020,desc 529,ARS,92,Gasto,Verdadero,Vehículo,mecanico,nota 529
17/10/2022,desc 530,ARS,196,Gasto,Falso,Transporte,sube,nota 530
21/11/2021,desc 531,ARS,306,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 531
16/04/2021,desc 532,ARS,279,Gasto,Verdadero,Recreación,,nota 532
17/04/2020,desc 533,ARS,27,Gasto,Falso,Deporte,,nota 533
04/05/2020,desc 534,USD,231,Gasto,Verdadero,Vivienda,reparaciones,nota 534
05/09/2022,desc 535,ARS,810,Ingreso,,Belleza,peluquero; manicura,nota 535
05/05/2020,desc 536,ARS,841,Gasto,Falso,Educación,universidad; postgrado,nota 536
18/05/2021,desc 537,ARS,963,Gasto,Verdadero,Vehículo,mecanico,nota 537
08/08/2021,desc 538,ARS,708,Gasto,,Transporte,sube,nota 538
09/05/2020,desc 539,USD,25,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 539
27/08/2020,desc 540,ARS,337,Gasto,Verdadero,Recreación,,nota 540
13/09/2020,desc 541,ARS,467,Gasto,Falso,Deporte,,nota 541
18/12/2021,desc 542,ARS,312,Ingreso,,Vivienda,reparaciones,nota 542
16/03/2022,desc 543,ARS,441,Gasto,Verdadero,Belleza,peluquero; manicura,nota 543
08/12/2021,desc 544,ARS,854,Gasto,Falso,Educación,universidad; postgrado,nota 544
05/01/2021,desc 545,ARS,39,Gasto,,Vehículo,mecanico,nota 545
17/03/2022,desc 546,ARS,370,Gasto,Verdadero,Transporte,sube,nota 546
03/05/2022,desc 547,USD,340,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 547
09/12/2020,desc 548,ARS,132,Gasto,Falso,Recreación,,nota 548
18/10/2021,desc 549,ARS,208,Ingreso,Verdadero,Deporte,,nota 549
19/09/2021,desc 550,ARS,240,Gasto,Falso,Vivienda,reparaciones,nota 550
10/07/2021,desc 551,ARS,128,Gasto,Verdadero,Belleza,peluquero; manicura,nota 551
02/11/2021,desc 552,USD,211,Gasto,,Educación,universidad; postgrado,nota 552
14/12/2020,desc 553,ARS,27,Gasto,Verdadero,Vehículo,mecanico,nota 553
05/03/2022,desc 554,ARS,307,Gasto,Verdadero,Transporte,sube,nota 554
26/04/2022,desc 555,ARS,205,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 555
15/03/2021,desc 556,ARS,573,Ingreso,Falso,Recreación,,nota 556
05/09/2021,desc 557,ARS,110,Gasto,Verdadero,Deporte,,nota 557
12/08/2022,desc 558,ARS,235,Gasto,Falso,Vivienda,reparaciones,nota 558
26/06/2021,desc 559,ARS,296,Gasto,,Belleza,peluquero; manicura,nota 559
06/06/2022,desc 560,USD,845,Gasto,Verdadero,Educación,universidad; postgrado,nota 560
21/08/2021,desc 561,ARS,519,Gasto,Falso,Vehículo,mecanico,nota 561
05/03/2021,desc 562,ARS,377,Gasto,,Transporte,sube,nota 562
14/08/2022,desc 563,ARS,647,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 563
23/04/2020,desc 564,ARS,398,Gasto,Falso,Recreación,,nota 564
24/01/2020,desc 565,USD,897,Gasto,Falso,Deporte,,nota 565
06/03/2020,desc 566,ARS,818,Gasto,Verdadero,Vivienda,reparaciones,nota 566
04/02/2020,desc 567,ARS,516,Gasto,Falso,Belleza,peluquero; manicura,nota 567
14/10/2021,desc 568,ARS,239,Gasto,Verdadero,Educación,universidad; postgrado,nota 568
27/04/2021,desc 569,ARS,449,Gasto,,Vehículo,mecanico,nota 569
22/07/2020,desc 570,ARS,337,Ingreso,Falso,Transporte,sube,nota 570
09/07/2020,desc 571,ARS,949,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 571
09/01/2021,desc 572,ARS,463,Gasto,,Recreación,,nota 572
08/04/2021,desc 573,USD,525,Gasto,Falso,Deporte,,nota 573
08/04/2020,desc 574,ARS,681,Gasto,Verdadero,Vivienda,reparaciones,nota 574
07/09/2021,desc 575,ARS,914,Gasto,Falso,Belleza,peluquero; manicura,nota 575
13/04/2020,desc 576,ARS,119,Gasto,,Educación,universidad; postgrado,nota 576
08/01/2021,desc 577,ARS,825,Ingreso,Verdadero,Vehículo,mecanico,nota 577
22/07/2021,desc 578,USD,964,Gasto,Falso,Transporte,sube,nota 578
05/09/2020,desc 579,ARS,486,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 579
03/05/2022,desc 580,ARS,785,Gasto,Verdadero,Recreación,,nota 580
27/02/2022,desc 581,ARS,485,Gasto,Falso,Deporte,,nota 581
25/06/2020,desc 582,ARS,628,Gasto,Falso,Vivienda,reparaciones,nota 582
26/02/2020,desc 583,ARS,923,Gasto,Verdadero,Belleza,peluquero; manicura,nota 583
01/12/2022,desc 584,ARS,312,Ingreso,Falso,Educación,universidad; postgrado,nota 584
05/05/2021,desc 585,ARS,597,Gasto,Verdadero,Vehículo,mecanico,nota 585
26/03/2022,desc 586,USD,419,Gasto,,Transporte,sube,nota 586
18/06/2022,desc 587,ARS,156,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 587
09/09/2020,desc 588,ARS,190,Gasto,Verdadero,Recreación,,nota 588
07/03/2022,desc 589,ARS,33,Gasto,Verdadero,Deporte,,nota 589
26/01/2020,desc 590,ARS,997,Gasto,Falso,Vivienda,reparaciones,nota 590
02/05/2022,desc 591,USD,434,Ingreso,Verdadero,Belleza,peluquero; manicura,nota 591
15/07/2022,desc 592,ARS,709,Gasto,Falso,Educación,universidad; postgrado,nota 592
26/07/2022,desc 593,ARS,810,Gasto,,Vehículo,mecanico,nota 593
10/06/2022,desc 594,ARS,388,Gasto,Verdadero,Transporte,sube,nota 594
08/07/2022,desc 595,ARS,587,Gasto,Falso,Viajes,Vacaciones 2022; gente del trabajo,nota 595
16/07/2021,desc 596,ARS,657,Gasto,,Recreación,,nota 596
13/11/2022,desc 597,ARS,598,Gasto,Verdadero,Deporte,,nota 597
16/09/2021,desc 598,ARS,216,Ingreso,Falso,Vivienda,reparaciones,nota 598
16/09/2022,desc 599,USD,677,Gasto,Falso,Belleza,peluquero; manicura,nota 599
15/11/2022,desc 600,ARS,577,Gasto,Verdadero,Educación,universidad; postgrado,nota 600
25/01/2020,desc 601,ARS,403,Gasto,Falso,Vehículo,mecanico,nota 601
02/07/2020,desc 602,ARS,786,Gasto,Verdadero,Transporte,sube,nota 602
11/09/2021,desc 603,ARS,578,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 603
14/02/2020,desc 604,USD,717,Gasto,Falso,Recreación,,nota 604
05/12/2020,desc 605,ARS,887,Ingreso,Verdadero,Deporte,,nota 605
17/04/2021,desc 606,ARS,413,Gasto,,Vivienda,reparaciones,nota 606
17/03/2021,desc 607,ARS,390,Gasto,Falso,Belleza,peluquero; manicura,nota 607
19/11/2020,desc 608,ARS,690,Gasto,Verdadero,Educación,universidad; postgrado,nota 608
19/10/2021,desc 609,ARS,294,Gasto,Falso,Vehículo,mecanico,nota 609
01/05/2020,desc 610,ARS,58,Gasto,,Transporte,sube,nota 610
10/05/2021,desc 611,ARS,448,Gasto,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 611
09/04/2020,desc 612,USD,490,Ingreso,Falso,Recreación,,nota 612
04/11/2020,desc 613,ARS,419,Gasto,,Deporte,,nota 613
21/12/2022,desc 614,ARS,232,Gasto,Verdadero,Vivienda,reparaciones,nota 614
22/08/2022,desc 615,ARS,89,Gasto,Falso,Belleza,peluquero; manicura,nota 615
04/04/2021,desc 616,ARS,991,Gasto,Falso,Educación,universidad; postgrado,nota 616
08/11/2022,desc 617,USD,631,Gasto,Verdadero,Vehículo,mecanico,nota 617
07/05/2021,desc 618,ARS,363,Gasto,Falso,Transporte,sube,nota 618
04/04/2020,desc 619,ARS,255,Ingreso,Verdadero,Viajes,Vacaciones 2022; gente del trabajo,nota 619
11/07/2022,desc 620,ARS,221,Gasto,,Recreación,,nota 620
25/03/2021,desc 621,ARS,517,Gasto,Verdadero,Deporte,,nota 621
21/02/2021,desc 622,ARS,267,Gasto,Verdadero,Vivienda,reparaciones,nota 622
23/10/2022,desc 623,ARS,520,Gasto,Verdadero,Belleza,peluquero; manicura,nota 623
08/09/2021,desc 624,ARS,769,Gasto,Falso,Educación,universidad; postgrado,nota 624
14/03/2021,desc 625,USD,322,Gasto,Verdadero,Vehículo,mecanico,nota 625
05/04/2022,desc 626,ARS,177,Ingreso,Falso,Transporte,sube,nota 626
13/12/2020,desc 627,ARS,48,Gasto,,Viajes,Vacaciones 2022; gente del trabajo,nota 627
